tournament_id,team_id,year,goals_for,goals_against,points
WC-2022,T-38,2022,4,7,3
WC-2022,T-44,2022,4,3,6
WC-2022,T-46,2022,2,3,4
WC-2022,T-47,2022,4,1,7
WC-2022,T-48,2022,5,1,7
WC-2022,T-57,2022,2,2,4
WC-2022,T-58,2022,6,4,6
WC-2022,T-59,2022,1,7,0
WC-2022,T-63,2022,3,5,3
WC-2022,T-65,2022,5,4,6
WC-2022,T-66,2022,5,8,1
WC-2022,T-71,2022,4,4,4
WC-2022,T-73,2022,9,3,4
WC-2022,T-75,2022,4,3,6
WC-2022,T-79,2022,1,1,4
WC-2022,T-83,2022,2,1,5
WC-2022,T-84,2022,2,2,4
WC-2022,T-85,2022,1,6,1
